ID,"Match Type [match_type] (Allowed values: exact, placeholders)",Source path [from_url],Target path [to_url],"Enabled [is_enabled] (1 = enable redirect, 0 = disable redirect [default])"
64,exact,/2016/10/05/npors-changes-announced/,/post/national-plant-operators-scheme-changes-announced,1
65,exact,/qcf-nvqs/l2-nvq-diploma-in-specialist-concrete-occupations-construction-concrete-repair/,/nvq/l2-nvq-diploma-specialist-concrete-occupations-construction-concrete-repair,1
66,exact,/qcf-nvqs/l2-nvq-diploma-in-wood-occupations-construction-­‐-bench-joinery/,/nvq/l2-nvq-diploma-wood-occupations-construction-bench-joinery,1
67,exact,/qcf-nvqs/l2-nvq-diploma-in-decorative-finishing-and-industrial-painting-occupations-construction-industrial-painter/,/nvq/l2-nvq-diploma-decorative-finishing-and-industrial-painting-occupations-construction-industrial-painter,1
68,exact,/qcf-nvqs/l2-nvq-diploma-in-demolition-construction-demolition/,/nvq/l2-nvq-diploma-demolition-construction-demolition,1
69,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-construction-operations-­‐-excavation-and-reinstatement/,/nvq/l2-nvq-diploma-construction-operations-and-civil-engineering-services-construction-operations-excavation-and-reinstatement,1
70,exact,/qcf-nvqs/l2-nvq-diploma-in-steelfixing-occupations-construction/,/nvq/l2-nvq-diploma-steelfixing-occupations-construction,1
71,exact,/qcf-nvqs/l4-nvq-diploma-in-construction-site-supervision-building-and-civil-engineering/,/nvq/l4-nvq-diploma-construction-site-supervision-building-and-civil-engineering,1
72,exact,/2015/10/10/smsts-refresher-changes/,/post/smsts-refresher-changes,1
73,exact,/2017/11/22/future-citb-heres-need-know/,/post/what-future-citb-heres-what-you-need-know,1
74,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-highways-maintenance-construction-­‐-drainage-construction/,/nvq/l2-nvq-diploma-construction-operations-and-civil-engineering-services-highways-maintenance-construction-drainage-construction,1
75,exact,/qcf-nvqs/l3-nvq-diploma-in-wood-occupations-construction-site-carpentry/,/nvq/level-2-nvq-diploma-wood-occupations-construction-site-carpentry,1
76,exact,/qcf-nvqs/l4-nvq-diploma-in-construction-site-supervision-residential-development/,/nvq/l4-nvq-diploma-construction-site-supervision-residential-development,1
77,exact,/qcf-nvqs/l2-nvq-certificate-in-interior-systems-construction-ceiling-fixing/,/nvq/l2-nvq-certificate-interior-systems-construction-ceiling-fixing,1
78,exact,/qcf-nvqs/l2-nvq-diploma-in-site-logistics-operations-construction-plant/,/nvq/l2-nvq-diploma-site-logistics-operations-construction-general,1
79,exact,/traineeships-employer-faqs/,/apprenticeships/learner-faqs/,1
80,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-construction-operations-­‐-modular-paving-pavement-construction/,/nvq-type/l2-nvq-diploma-construction-operations-and-civil-engineering-services-construction-operations-modular-paving-pavement-construction,1
81,exact,/qcf-nvqs/l2-nvq-diploma-in-specialist-concrete-occupations-construction-in-situ-flooring-concrete-finisher/,/nvq-type,1
82,exact,/2017/09/25/citb-health-safety-environment-test-changed-heres/,/post/citb-health-safety-environment-test-being-changed-heres-why,1
83,exact,/qcf-nvqs/l2-nvq-certificate-in-plant-operations-construction-compacting-plant/,/nvq/l2-nvq-certificate-plant-operations-construction-compacting-plant,1
84,exact,/qcf-nvqs/l2-nvq-certificate-in-plant-operations-construction-cranes-and-specialist-lifting-plant/,/nvq/l2-nvq-certificate-plant-operations-construction-cranes-and-specialist-lifting-plant,1
85,exact,/qcf-nvqs/l2-nvq-certificate-in-wood-occupations-construction-shopfitting-site-work/,/nvq/l2-nvq-certificate-wood-occupations-construction-shopfitting-site-work,1
86,exact,/qcf-nvqs/level-3-diploma-erecting-engineering-construction-capital-plant-steel-structures/,/nvq/l3-nvq-erecting-engineering-construction-capital-plant-steel-structures,1
87,exact,/qcf-nvqs/l2-nvq-certificate-in-associated-industrial-services-occupations-construction-water-jetting/,/nvq/l2-nvq-certificate-associated-industrial-services-occupations-construction-water-jetting,1
88,exact,/qcf-nvqs/l2-nvq-diploma-in-interior-systems-construction-partitioning/,/nvq/l2-nvq-diploma-interior-systems-construction-partitioning,1
89,exact,/traineeship-learner-faqs/,/apprenticeships/learner-faqs/,1
